County,D0,D1,OTHER0,R0,R1,STATE,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,A00101,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11902,A11902
adams,6521.0,0.0,0.0,0.0,21046.0,PA,50750.0,22980.0,22230.0,4550.0,26110.0,95780.0,27030.0,1360.0,410.0,960.0,2879700.0,50610.0,2921170.0,41680.0,1965883.0,15910.0,18997.0,10430.0,52036.0,9640.0,38446.0,5130.0,2868.0,6660.0,79678.0,7840.0,85070.0,6540.0,88109.0,12270.0,283734.0,870.0,3880.0,14294.0,8290.0,108194.0,2260.0,93782.0,11880.0,41470.0,1090.0,270.0,190.0,3655.0,1580.0,9049.0,1060.0,4507.0,4560.0,4821.0,510.0,1083.0,330.0,6954.0,15670.0,321003.0,1715446.0,13450.0,69638.0,1840.0,1616.0,14560.0,56798.0,15620.0,130086.0,12770.0,94046.0,11700.0,44297.0,39210.0,1977949.0,38960.0,357887.0,550.0,2932.0,650.0,477.0,15190.0,17305.0,2210.0,331.0,1590.0,875.0,2910.0,3533.0,3180.0,527.0,7940.0,10371.0,1070.0,760.0,5280.0,15010.0,1020.0,2604.0,1150.0,2970.0,2100.0,400.0,47890.0,447148.0,6640.0,13780.0,5590.0,12200.0,4590.0,6243.0,2690.0,2562.0,490.0,289.0,35840.0,340984.0,38050.0,360849.0,350.0,484.0,500.0,1724.0,8040.0,30606.0,39700.0,101355.0
cumberland,7721.0,0.0,0.0,0.0,55202.0,PA,123000.0,59660.0,51330.0,9630.0,57450.0,225360.0,61040.0,3750.0,1980.0,1780.0,8279552.0,122620.0,8390275.0,99030.0,5561185.0,47020.0,57144.0,31270.0,195172.0,29050.0,143194.0,11560.0,7015.0,15390.0,244885.0,25280.0,365416.0,16980.0,251314.0,32570.0,812817.0,1010.0,6830.0,30171.0,21000.0,296684.0,6290.0,398923.0,30530.0,110723.0,2770.0,661.0,840.0,19256.0,3390.0,21928.0,2440.0,10718.0,12950.0,14259.0,1300.0,3326.0,490.0,4854.0,40180.0,859853.0,5271201.0,34830.0,219906.0,4370.0,4013.0,36790.0,136755.0,40020.0,366884.0,31840.0,225699.0,32240.0,142121.0,99160.0,6057129.0,98310.0,1165883.0,2730.0,11518.0,1280.0,919.0,38770.0,44524.0,8690.0,3373.0,5190.0,2855.0,7870.0,9649.0,6680.0,1097.0,17690.0,23731.0,2900.0,1454.0,12000.0,40922.0,1960.0,4713.0,2290.0,5388.0,4320.0,872.0,116390.0,1363656.0,13670.0,27254.0,11480.0,24011.0,8210.0,10510.0,6750.0,6477.0,970.0,539.0,92110.0,1125224.0,96510.0,1183002.0,2100.0,3913.0,2440.0,9799.0,22390.0,108713.0,93260.0,240609.0
dauphin,4961.0,0.0,0.0,0.0,48836.0,PA,140820.0,71340.0,47250.0,19190.0,62330.0,253010.0,75550.0,4610.0,2430.0,2180.0,7871237.0,140330.0,7967494.0,117020.0,5821397.0,42920.0,41631.0,28370.0,145756.0,26240.0,108787.0,11960.0,4885.0,15910.0,209258.0,21370.0,211849.0,15200.0,223232.0,33440.0,756706.0,630.0,8900.0,38220.0,20260.0,271172.0,5280.0,236208.0,31850.0,96257.0,2510.0,612.0,640.0,13011.0,2920.0,18080.0,2220.0,8985.0,14120.0,15864.0,1520.0,4095.0,330.0,4454.0,38840.0,795611.0,4566412.0,33630.0,194301.0,4150.0,3557.0,35470.0,146815.0,38670.0,352717.0,30770.0,198067.0,30820.0,128440.0,107920.0,5519256.0,107250.0,1011508.0,2640.0,11671.0,1360.0,906.0,41140.0,46159.0,6960.0,4224.0,5560.0,3034.0,8830.0,10688.0,7970.0,1241.0,19540.0,23444.0,3110.0,1755.0,12390.0,35317.0,2280.0,5268.0,2590.0,5818.0,5390.0,932.0,134430.0,1229745.0,24660.0,56512.0,21910.0,51357.0,16060.0,20159.0,8160.0,7754.0,1120.0,537.0,97750.0,965987.0,104130.0,1017178.0,2130.0,3871.0,2330.0,5958.0,22290.0,89629.0,111820.0,282782.0
york,31047.0,0.0,0.0,0.0,89037.0,PA,219430.0,100540.0,90360.0,24130.0,105740.0,414250.0,121170.0,6870.0,3570.0,3310.0,12411130.0,218700.0,12569378.0,183240.0,9303118.0,71040.0,83197.0,47500.0,225274.0,43920.0,165057.0,22180.0,11719.0,25910.0,323817.0,35870.0,371498.0,28260.0,391046.0,50030.0,950049.0,1610.0,17750.0,72980.0,31900.0,417781.0,9350.0,426658.0,50820.0,158248.0,4990.0,1240.0,870.0,15074.0,5160.0,32584.0,3920.0,17227.0,21820.0,23282.0,2220.0,5480.0,900.0,14863.0,70940.0,1487801.0,7629513.0,62280.0,305895.0,7000.0,6227.0,66420.0,316001.0,70720.0,636888.0,58340.0,407250.0,54360.0,213424.0,169710.0,8504373.0,168620.0,1480107.0,3380.0,14237.0,2470.0,1827.0,68390.0,78117.0,10430.0,3254.0,8590.0,4703.0,13700.0,16909.0,13390.0,2215.0,35000.0,44954.0,5210.0,2451.0,19860.0,57703.0,4030.0,9802.0,4520.0,11026.0,8730.0,1601.0,207900.0,1843901.0,33050.0,72214.0,28680.0,64826.0,21200.0,26534.0,12910.0,12529.0,1950.0,988.0,154920.0,1401523.0,164540.0,1482813.0,2240.0,3404.0,2690.0,9764.0,33070.0,138351.0,174360.0,464488.0
allegheny,34517.0,0.0,0.0,0.0,51466.0,PA,630440.0,339650.0,215490.0,62800.0,275510.0,1090370.0,293850.0,18350.0,10280.0,8060.0,42614507.0,628380.0,43244426.0,519640.0,30042792.0,201900.0,268975.0,156410.0,1168660.0,145440.0,881398.0,56260.0,40208.0,76720.0,1314166.0,125630.0,2388377.0,78400.0,1314889.0,137390.0,2720952.0,390.0,42870.0,210240.0,94110.0,1311229.0,31450.0,2107177.0,170210.0,629919.0,14080.0,3510.0,4760.0,107338.0,17350.0,107328.0,13020.0,58256.0,83630.0,99728.0,7930.0,20640.0,2040.0,39294.0,174730.0,4113860.0,26881235.0,153270.0,1140467.0,17270.0,18038.0,157860.0,848016.0,174080.0,2033844.0,130690.0,783859.0,146600.0,709113.0,497620.0,31899981.0,492800.0,6468040.0,19360.0,105438.0,7410.0,4283.0,185290.0,217980.0,47240.0,41908.0,19110.0,9901.0,39820.0,48458.0,32030.0,5537.0,73660.0,92592.0,14150.0,3936.0,62690.0,202410.0,11400.0,21099.0,13220.0,24124.0,21930.0,4116.0,597580.0,7452613.0,83800.0,172025.0,72000.0,153082.0,46050.0,55810.0,33530.0,32016.0,5510.0,2330.0,461930.0,6265486.0,485920.0,6592285.0,15240.0,32583.0,17260.0,73175.0,110310.0,610849.0,483540.0,1278899.0
beaver,21067.0,0.0,0.0,0.0,26489.0,PA,86300.0,42010.0,34150.0,8530.0,45030.0,155410.0,41500.0,2390.0,280.0,2120.0,4523218.0,86060.0,4577835.0,70660.0,3320092.0,25780.0,22161.0,17100.0,53390.0,15700.0,37410.0,6580.0,2490.0,9040.0,117900.0,12460.0,119344.0,11100.0,142486.0,23050.0,399320.0,420.0,8090.0,40178.0,13920.0,176486.0,3160.0,122531.0,20010.0,54617.0,1940.0,497.0,300.0,5041.0,1720.0,9302.0,1680.0,7428.0,9940.0,11136.0,750.0,1859.0,170.0,3004.0,18630.0,354561.0,2068717.0,16210.0,80668.0,1930.0,1775.0,17160.0,63485.0,18560.0,148094.0,14670.0,83279.0,15030.0,56455.0,65730.0,3103434.0,65400.0,523070.0,930.0,3414.0,960.0,625.0,23910.0,26382.0,3460.0,916.0,2030.0,1005.0,5110.0,6434.0,5100.0,889.0,11840.0,15422.0,2080.0,643.0,6920.0,18583.0,1480.0,2888.0,1720.0,3355.0,3400.0,598.0,81900.0,654779.0,12440.0,25511.0,10690.0,22968.0,7000.0,8530.0,4640.0,4492.0,710.0,319.0,60950.0,496690.0,64240.0,523072.0,670.0,833.0,830.0,1809.0,12480.0,47840.0,69450.0,170333.0
cambria,17765.0,0.0,0.0,0.0,22752.0,PA,64240.0,30700.0,26480.0,5930.0,34010.0,117660.0,31820.0,1520.0,1460.0,60.0,2971673.0,64050.0,3011384.0,50910.0,2156471.0,22690.0,27768.0,13200.0,43961.0,12040.0,31050.0,3650.0,1575.0,6430.0,82739.0,8800.0,73805.0,8240.0,94639.0,18590.0,313392.0,410.0,6450.0,27932.0,10190.0,113743.0,2370.0,81456.0,14920.0,39711.0,1530.0,384.0,220.0,4264.0,1360.0,8048.0,1600.0,6748.0,7210.0,7821.0,550.0,1280.0,150.0,1284.0,8380.0,172549.0,1009406.0,7290.0,39947.0,910.0,838.0,7450.0,23818.0,8330.0,65660.0,5910.0,32845.0,6440.0,26655.0,46830.0,1988038.0,46630.0,331161.0,550.0,2758.0,960.0,598.0,18100.0,20741.0,2240.0,1030.0,1740.0,772.0,3900.0,4937.0,4750.0,911.0,8760.0,11842.0,1560.0,604.0,5140.0,13568.0,1710.0,4801.0,1830.0,5227.0,2680.0,454.0,60170.0,440809.0,10380.0,21380.0,9010.0,19454.0,5700.0,7000.0,3450.0,3356.0,780.0,324.0,43110.0,311036.0,45760.0,329903.0,400.0,678.0,520.0,1924.0,7770.0,26225.0,52270.0,125862.0
lawrence,1844.0,0.0,0.0,0.0,2466.0,PA,41940.0,19900.0,16990.0,4280.0,24210.0,77430.0,21680.0,920.0,840.0,80.0,2036715.0,41840.0,2064958.0,33920.0,1439158.0,12510.0,11508.0,8670.0,31349.0,8020.0,22908.0,2790.0,1215.0,5190.0,60257.0,6180.0,47416.0,5330.0,62123.0,10720.0,187028.0,580.0,3760.0,17213.0,6610.0,78276.0,1740.0,86735.0,9670.0,28243.0,1140.0,292.0,130.0,2061.0,1040.0,6415.0,820.0,3699.0,4160.0,4644.0,300.0,807.0,160.0,2362.0,7300.0,143632.0,831073.0,6360.0,33254.0,790.0,640.0,6650.0,22347.0,7280.0,57316.0,5500.0,30510.0,5660.0,22717.0,30840.0,1362711.0,30630.0,228197.0,370.0,1497.0,480.0,297.0,11650.0,13257.0,1660.0,277.0,790.0,367.0,2470.0,3136.0,2660.0,473.0,5820.0,7612.0,890.0,270.0,3830.0,9781.0,810.0,1713.0,920.0,1895.0,1900.0,329.0,39400.0,287652.0,7020.0,14811.0,6030.0,13253.0,3920.0,4808.0,2390.0,2333.0,390.0,168.0,28260.0,215210.0,30280.0,228141.0,240.0,315.0,370.0,1077.0,5690.0,27261.0,33820.0,82417.0
somerset,6365.0,0.0,0.0,0.0,16336.0,PA,34760.0,15750.0,15860.0,2570.0,20500.0,65010.0,16860.0,880.0,570.0,320.0,1623480.0,34670.0,1648853.0,27450.0,1120510.0,11890.0,14607.0,6740.0,27866.0,6170.0,19745.0,2340.0,1294.0,4790.0,58377.0,4970.0,55708.0,4700.0,51136.0,8600.0,145882.0,920.0,4200.0,19595.0,5320.0,59920.0,1660.0,49111.0,8170.0,25373.0,690.0,172.0,110.0,2059.0,1050.0,5996.0,860.0,3926.0,3170.0,3332.0,270.0,514.0,250.0,2140.0,5070.0,103599.0,588301.0,4360.0,22399.0,580.0,538.0,4480.0,13368.0,5050.0,36957.0,3510.0,18986.0,3870.0,20778.0,25580.0,1069552.0,25430.0,172099.0,270.0,1527.0,610.0,393.0,9730.0,11010.0,1120.0,494.0,890.0,372.0,1840.0,2238.0,2780.0,521.0,4830.0,6439.0,800.0,409.0,3690.0,9831.0,1120.0,3224.0,1210.0,3482.0,1700.0,284.0,32210.0,233546.0,5480.0,10824.0,4560.0,9536.0,3020.0,3731.0,1600.0,1543.0,530.0,222.0,23460.0,161379.0,25280.0,174207.0,150.0,226.0,270.0,1335.0,4620.0,15338.0,27510.0,68546.0
westmoreland,12323.0,0.0,0.0,0.0,18600.0,PA,183080.0,88710.0,76900.0,14380.0,91150.0,329520.0,85330.0,5330.0,1100.0,4220.0,10652461.0,182560.0,10799711.0,146490.0,7441799.0,61780.0,69649.0,43790.0,207577.0,40470.0,155732.0,14800.0,7045.0,21610.0,333862.0,32560.0,408900.0,26180.0,358472.0,47780.0,909864.0,890.0,15810.0,71913.0,31860.0,421490.0,8710.0,460871.0,44170.0,147250.0,4470.0,1150.0,870.0,14818.0,5420.0,32110.0,4160.0,19401.0,19780.0,22132.0,1860.0,4380.0,640.0,13684.0,42140.0,871432.0,5476494.0,36740.0,212988.0,4400.0,4153.0,38940.0,152319.0,42000.0,375167.0,32930.0,204330.0,34960.0,134985.0,141180.0,7593575.0,139990.0,1375296.0,2950.0,13474.0,2080.0,1301.0,52030.0,61318.0,9790.0,6778.0,4610.0,2272.0,11250.0,14386.0,10010.0,1813.0,23760.0,31497.0,4580.0,1358.0,16880.0,50835.0,3280.0,6715.0,3790.0,7669.0,6470.0,1157.0,171850.0,1657169.0,22230.0,42997.0,18610.0,37625.0,11720.0,14276.0,10040.0,9661.0,1620.0,712.0,132000.0,1316622.0,138950.0,1389555.0,2140.0,3313.0,2780.0,11428.0,28990.0,125296.0,142100.0,351907.0
