County,D0,D1,OTHER0,R0,R1
cook,165600.0,1216305.0,15230.0,297539.0,18608.0
will,35351.0,119048.0,0.0,63364.0,33806.0
kankakee,96167.0,115468.0,4.0,73981.0,77938.0
dupage,64523.0,32047.0,0.0,13019.0,60243.0
kane,16451.0,8033.0,0.0,4746.0,15615.0
lake,26993.0,111140.0,4532.0,56234.0,24452.0
mchenry,1099.0,0.0,51.0,0.0,1084.0
kendall,5131.0,0.0,366.0,0.0,9958.0
alexander,10148.0,0.0,551.0,0.0,9879.0
franklin,4554.0,0.0,360.0,0.0,9088.0
jackson,47567.0,0.0,1565.0,0.0,54820.0
jefferson,5593.0,0.0,324.0,0.0,9735.0
madison,2634.0,0.0,144.0,0.0,5833.0
monroe,938.0,0.0,34.0,0.0,1442.0
perry,4317.0,0.0,283.0,0.0,7672.0
pulaski,54108.0,0.0,3355.0,0.0,41387.0
randolph,2417.0,0.0,201.0,0.0,4997.0
st. clair,8996.0,0.0,705.0,0.0,17728.0
union,2255.0,0.0,0.0,0.0,4298.0
williamson,811.0,0.0,0.0,0.0,1447.0
bond,47195.0,0.0,0.0,0.0,31515.0
calhoun,3467.0,0.0,0.0,0.0,9452.0
champaign,1816.0,0.0,0.0,0.0,4377.0
christian,1335.0,0.0,0.0,0.0,2985.0
dewitt,2786.0,0.0,0.0,0.0,5917.0
greene,16242.0,0.0,0.0,0.0,22945.0
jersey,7031.0,0.0,0.0,0.0,10969.0
macon,3961.0,0.0,0.0,0.0,7438.0
macoupin,31232.0,0.0,0.0,0.0,36168.0
montgomery,2631.0,0.0,0.0,0.0,4985.0
mclean,36533.0,0.0,3.0,0.0,49205.0
piatt,19739.0,0.0,0.0,0.0,16521.0
sangamon,59873.0,0.0,0.0,0.0,56728.0
dekalb,1821.0,0.0,5.0,0.0,4267.0
clark,1036.0,0.0,0.0,0.0,3803.0
clay,3678.0,0.0,0.0,0.0,10403.0
clinton,6520.0,0.0,0.0,0.0,10464.0
coles,2094.0,0.0,0.0,0.0,4770.0
crawford,1058.0,0.0,0.0,0.0,3252.0
cumberland,1627.0,0.0,0.0,0.0,4738.0
douglas,1734.0,0.0,0.0,0.0,4270.0
edgar,419.0,0.0,0.0,0.0,1999.0
edwards,3162.0,0.0,0.0,0.0,11143.0
effingham,1897.0,0.0,0.0,0.0,5950.0
fayette,1051.0,0.0,0.0,0.0,3916.0
ford,714.0,0.0,0.0,0.0,1360.0
gallatin,862.0,0.0,0.0,0.0,2579.0
hamilton,431.0,0.0,0.0,0.0,1251.0
hardin,1099.0,0.0,0.0,0.0,3311.0
jasper,1223.0,0.0,0.0,0.0,3948.0
johnson,1291.0,0.0,0.0,0.0,3007.0
lawrence,3917.0,0.0,0.0,0.0,8732.0
marion,1443.0,0.0,0.0,0.0,3937.0
massac,1640.0,0.0,0.0,0.0,3487.0
moultrie,396.0,0.0,0.0,0.0,1373.0
pope,1597.0,0.0,0.0,0.0,4438.0
richland,2711.0,0.0,0.0,0.0,6676.0
saline,2344.0,0.0,0.0,0.0,6837.0
shelby,8446.0,0.0,0.0,0.0,14675.0
vermilion,1040.0,0.0,0.0,0.0,2943.0
wabash,1399.0,0.0,0.0,0.0,4634.0
washington,1048.0,0.0,0.0,0.0,4908.0
wayne,1445.0,0.0,0.0,0.0,4410.0
white,7465.0,0.0,0.0,0.0,10530.0
boone,5234.0,0.0,0.0,0.0,8408.0
bureau,6904.0,0.0,0.0,0.0,12406.0
grundy,1875.0,0.0,0.0,0.0,8401.0
iroquois,5210.0,0.0,0.0,0.0,7397.0
lee,3286.0,0.0,0.0,0.0,8818.0
livingston,17241.0,0.0,0.0,0.0,22725.0
lasalle,6980.0,0.0,0.0,0.0,12147.0
ogle,1094.0,0.0,0.0,0.0,1487.0
putnam,559.0,0.0,0.0,0.0,1497.0
stark,32797.0,15913.0,2.0,6864.0,40072.0
winnebago,0.0,3169.0,0.0,2798.0,0.0
carroll,0.0,7870.0,0.0,4719.0,0.0
fulton,0.0,1386.0,0.0,1278.0,0.0
henderson,0.0,10408.0,0.0,9034.0,0.0
henry,0.0,5111.0,0.0,4124.0,0.0
jodaviess,0.0,11203.0,0.0,6671.0,0.0
knox,0.0,3967.0,0.0,3037.0,0.0
mercer,16622.0,17304.0,0.0,5854.0,25235.0
peoria,0.0,32765.0,0.0,17992.0,0.0
rock island,0.0,8658.0,0.0,7696.0,0.0
stephenson,11678.0,8306.0,0.0,6114.0,25742.0
tazewell,0.0,3353.0,0.0,2749.0,0.0
warren,0.0,13246.0,0.0,8160.0,0.0
whiteside,5972.0,0.0,0.0,0.0,18421.0
adams,350.0,0.0,0.0,0.0,1541.0
brown,1314.0,0.0,0.0,0.0,3195.0
cass,1928.0,0.0,0.0,0.0,5062.0
hancock,2443.0,0.0,0.0,0.0,7574.0
logan,1348.0,0.0,0.0,0.0,3375.0
marshall,1633.0,0.0,0.0,0.0,3602.0
mason,1323.0,0.0,0.0,0.0,4033.0
menard,3342.0,0.0,0.0,0.0,8351.0
morgan,4002.0,0.0,0.0,0.0,6171.0
mcdonough,1392.0,0.0,0.0,0.0,5050.0
pike,862.0,0.0,0.0,0.0,2242.0
schuyler,410.0,0.0,0.0,0.0,1630.0
scott,4576.0,0.0,0.0,0.0,11656.0
woodford,0.0,16363.0,0.0,20032.0,0.0
